description,genres,img,last_chapter,link,origin,published_date,state,title,type
"Dotée d'un corps de rêve, Atori est lycéenne et chasseuse de démons à temps partiel.

Mi-humaine mi-démon, elle n'a aucun souvenirs remontant avant le collège.

Une mystérieuse organisation, le N. U. E. l'embauche pour chasser les démons et monstres malfaisants, ce qui lui permet de financer ses études et payer son loyer.",Shounen,/imgs/mangas/atori.jpg,https://www.japscan.me/manga/atori/,https://www.japscan.me/manga/atori/,Japon,,,Manga Atori,2005
"Le jour où Mana, lycéenne tête en l’air et un peu exaltée, aide son ancien voisin et tourmenteur Chihiro à réemménager dans la maison d’à côté après dix ans d’absence, elle n’imagine pas qu’il va lui ouvrir sans le savoir les portes d’un autre monde. La bague qu’il lui a rapportée d’Angleterre ne tarde en effet pas à la projeter à Avalon, royaume enchanté où tout peut arriver… y compris rencontrer Lancelot du Lac et des sosies de ses camarades de classe ! YUIGA Satoru, illustratrice et auteur spécialisée dans la fantasy, nous livre ici sa première œuvre à destination des jeunes filles, sans pour autant s’éloigner beaucoup de ses premières amours. Dans At Laz Meridian, elle décrit avec justesse et humour les premiers émois d’adolescents, confrontés de surcroît à des phénomènes plus qu’étranges…",Shōjo,/imgs/mangas/at-laz-meridian.jpg,https://www.japscan.me/manga/at-laz-meridian/,https://www.japscan.me/manga/at-laz-meridian/,Japon,,,Manga At Laz Meridian,2006
"Les professeurs Tenma et Ochanomizu, génies de la robotique, sont célèbres pour avoir donné naissance à Astro Boy. Retrouvons-les, alors étudiants, lors de leurs premiers essais aux origines du mythe. Après la guerre, le Japon s'est reconstruit grâce aux progrès de la robotique. Les étudiants en robotique Tenma et Ochanomizu travaillent sur l'intelligence artificielle. Ils mettent au point le A106 ou « Six », un prototype de robot doté d'un embryon de conscience individuelle ! « Six » évolue, à leur insu, et il commence même à ressentir des émotions ! Mais il ne semble pas être le seul. Un étrange robot surpuissant nommé « Mars » fait son apparition ! Quelles sont ses capacités ? Qui l'a créé et dans quel but ?","Shōnen, Seinen",/imgs/mangas/atom-the-beginning.jpg,https://www.japscan.me/manga/atom-the-beginning/,https://www.japscan.me/manga/atom-the-beginning/,Japon,,,Manga Atom - The Beginning,2014
"Nous sommes dans l'ère de la Transmigration. . ""Préparez-vous pour l'au-delà !"" C'est ce qu'il y avait écrit dans l'étrange SMS que j'ai reçu juste avant de mourir. . Je pensais être morte, mais lorsque j'ai ouvert les yeux, je me suis retrouvée dans une sorte de ""poste d'examen de possession"". . Existe-t-il vraiment une vie après la mort? . Serez-vous transmigrer dans un livre ? ""Avez-vous un genre particulier que vous préférez ?"" Je maîtrisais tous les genres avec vertu dans ma vie antérieure, mais ce que je souhaitais c'était de posséder le corps d'une jeune demoiselle riche. . Finalement, j'ai transmigré à l'intérieur d'un roman de retour infini appelé : 'Return until the world is Saved.' . Oubliez d'être une jeune femme issue d'une grande famille, je serai bientôt ruinée parce que la difficulté de survie de l'œuvre originale est de classe S. Dans ma seconde vie, je me nomme Ellet, une simple figurante et jeune fille d'une servante du comte. Nous sommes pauvres, mais c'est une vie heureuse que je vis avec mon frère et mon père et j'ai un meilleur ami (ce que je n'avais pas dans ma vie précédente…). Même les dieux du Bureau de gestion de la transmigration m'aiment ouvertement. . Je vis une vie pleine de confiance, En plus de cela, j'ai accidentellement acheté le pack complet 'After-Life Insurance' juste avant mon décès. J'ai monté de niveau avec le buff de croissance à grande vitesse et j'ai détruit avec diligence l'intrigue originale. Grâce à de nombreux privilèges spéciaux, je suis venu donner satisfaction à tous les lecteurs frustrés de l'œuvre originale!",Shōjo,/imgs/mangas/a-transmigrator-s-privilege.jpg,https://www.japscan.me/manga/a-transmigrator-s-privilege/,https://www.japscan.me/manga/a-transmigrator-s-privilege/,Corée Du Sud,,,Manhwa A Transmigrator's Privilege,2022
"Leesu vient d’une famille pauvre, mais cela ne le dérange pas du tout de ne pas avoir d’argent ou de statut. Être le combattant le plus fort de l’école lui a permis de se sentir comme si il était sur le toit du monde. Mais hélas, un accident de voiture lui fait perdre ce qui était sa plus grande fierté, sa capacité à se battre! Désireux de retrouver ses glorieux jours passés, il se tourne vers l’escrime avec l’espoir de regagner ce qu’il avait autrefois...","Drame, School Life, Action, Sport",/imgs/mangas/attaque.jpg,https://www.japscan.me/manga/attaque/,https://www.japscan.me/manga/attaque/,Corée Du Sud,2011,En Pause,Manhwa Attaque,Shōnen
"Pendant 20 longues années, l'Empire a connu une immense sécheresse. La coupable ? Une de ses propres princesses. Surnommée la ""Princesse du grenier"", elle serait celle responsable de ce malheur. Pour la punir, elle a donc été enfermée dans un grenier et a été traitée pire qu'un chien pendant 20 ans. Enfin, pour pouvoir importer de l'eau, l'Empire décide d'offrir la princesse au royaume voisin. Pour survivre, la princesse accepte son sort et prétend être une idiote. Mais la réalité est tout autre et la princesse pourrait être bien plus spéciale que ce qu'il paraît.",Shōjo,/imgs/mangas/attic-princess.jpg,https://www.japscan.me/manga/attic-princess/,https://www.japscan.me/manga/attic-princess/,Japon,,,Manga Attic Princess,2022
"Goryou Daisuke ne sait toujours pas quel club rejoindre. Lorsqu'il rencontre les trois filles membres du club de recherches mystérieuses en cherchant l'entrepôt de l'école, il est hypnotisé pour signer le formulaire d'inscription. Le club est composé de Suzu, obsédée par des malédictions effrayantes, Chiaki qui ne compte que sur sa force monstrueuse pour réaliser de dangereux tours de magie, et Kotone qui peut contrôler les gens par l'hypnose.",Shōnen,/imgs/mangas/atsumare-fushigi-kenkyu-bu.jpg,https://www.japscan.me/manga/atsumare-fushigi-kenkyu-bu/,https://www.japscan.me/manga/atsumare-fushigi-kenkyu-bu/,Japon,,,Manga Atsumare! Fushigi Kenkyu-Bu,2016
"Après l’université, Kazuto Tatsuta change plusieurs fois de métier tout en dessinant des mangas. Après la catastrophe du 11 mars 2011, il veut se rendre dans la zone sinistrée. Il cherche alors du travail non seulement Fukushima mais aussi à Miyagi et à Iwate, villes qui ont également subi de graves dégâts. Il est finalement embauché à Fukushima Daiichi. Après y avoir travaillé pendant six mois et atteint la dose limite annuelle de radiations, il retourne provisoirement chez lui à Tokyo. C’est alors qu’il décide de raconter son incroyable expérience dans ce manga qui deviendra cette aventure inédite Au cœur de Fukushima.",Seinen,/imgs/mangas/au-coeur-de-fukushima.jpg,https://www.japscan.me/manga/au-coeur-de-fukushima/,https://www.japscan.me/manga/au-coeur-de-fukushima/,Japon,,,Manga Au Coeur De Fukushima,2013
"Chitose est une jeune fille qui, dans sa vie, a toujours réussi à porter un masque derrière lequel elle dissimule ses véritables émotions. Constamment souriante, accueillante et mignonne, elle est persuadée qu'ainsi, personne ne la détestera ou se moquera d'elle. Cependant, pour la première fois de sa vie, Chitose va faire la rencontre d'un garçon qui ne peut pas supporter cette apparence joviale qu'elle se donne. Persuadé qu'une autre Chitose, bien plus authentique, se cache derrière cette façade, le jeune garçon va tenter de se rapprocher d'elle et connaître son ""moi"" profond.

Le garçon, plus que mystérieux, lui montrera qu'elle vaut mieux que ce qu'elle laisse paraître et que son talent pour l'art est réel. L'histoire d'une jeune fille terrifiée à l'idée de rester elle-même et d'un garçon qui n'en fait qu'à sa tête.",Shōjo,/imgs/mangas/au-dela-de-l-apparence.jpg,https://www.japscan.me/manga/au-dela-de-l-apparence/,https://www.japscan.me/manga/au-dela-de-l-apparence/,Japon,,,Manga Au Delà De L'Apparence,2015
"Au cœur du mont Fuji, près de l'un des cinq lacs, se situe un camp original où aurait été aperçue une jeune fille aux cheveux roses étincelants en train de manger… un bol de ramen ! Suivez les aventures du Yurucamp, un lieu niché au cœur de la nature japonaise, reculé et isolé des yeux de tous, où une vie paisible suit tranquillement son cours !",Seinen,/imgs/mangas/au-grand-air.jpg,https://www.japscan.me/manga/au-grand-air/,https://www.japscan.me/manga/au-grand-air/,Japon,,,Manga Au Grand Air,2015
